results_bucket_path,dataset_name,alg_name,hparam_source,trial_number,alg_hparam_id,exp_name,exception
,TabZilla,CatBoost,default,0,tabpfn-catboost-s100-3000-mutinf-coreset-equal__seed_0__trial_0,openml__libras__360948-CatBoost-0-19,"Traceback (most recent call last):
  File ""/scratch/bf996/tabzilla/TabZilla/tabzilla_experiment.py"", line 155, in __call__
    result = cross_validation(model, self.dataset, self.time_limit, scaler=args.scale_numerical_features, args=args)
  File ""/scratch/bf996/tabzilla/TabZilla/tabzilla_utils.py"", line 253, in cross_validation
    loss_history, val_loss_history = curr_model.fit(
  File ""/scratch/bf996/tabzilla/TabZilla/models/tree_models.py"", line 148, in fit
    X[:, self.args.cat_idx] = X[:, self.args.cat_idx].astype(""int"")
IndexError: index 100 is out of bounds for axis 1 with size 100
"
,TabZilla,CatBoost,default,0,tabpfn-catboost-s100-3000-mutinf-coreset-equal__seed_0__trial_0,openml__airlines__189354-CatBoost-0-9,"Traceback (most recent call last):
  File ""/scratch/bf996/tabzilla/TabZilla/tabzilla_experiment.py"", line 155, in __call__
    result = cross_validation(model, self.dataset, self.time_limit, scaler=args.scale_numerical_features, args=args)
  File ""/scratch/bf996/tabzilla/TabZilla/tabzilla_utils.py"", line 216, in cross_validation
    raise TimeoutException(f""time limit of {time_limit}s reached during fold {i}"")
tabzilla_utils.TimeoutException: time limit of 7200s reached during fold 9
"
,TabZilla,TabPFNModel,default,0,tabpfn-catboost-s100-3000-mutinf-coreset-equal__seed_0__trial_0,openml__airlines__189354-TabPFNModel-1-9,"Traceback (most recent call last):
  File ""/scratch/bf996/tabzilla/TabZilla/tabzilla_experiment.py"", line 155, in __call__
    result = cross_validation(model, self.dataset, self.time_limit, scaler=args.scale_numerical_features, args=args)
  File ""/scratch/bf996/tabzilla/TabZilla/tabzilla_utils.py"", line 216, in cross_validation
    raise TimeoutException(f""time limit of {time_limit}s reached during fold {i}"")
tabzilla_utils.TimeoutException: time limit of 7200s reached during fold 6
"
,TabZilla,CatBoost,default,0,tabpfn-catboost-s100-3000-mutinf-coreset-equal__seed_0__trial_0,openml__albert__189356-CatBoost-0-7,"Traceback (most recent call last):
  File ""/scratch/bf996/tabzilla/TabZilla/tabzilla_experiment.py"", line 155, in __call__
    result = cross_validation(model, self.dataset, self.time_limit, scaler=args.scale_numerical_features, args=args)
  File ""/scratch/bf996/tabzilla/TabZilla/tabzilla_utils.py"", line 216, in cross_validation
    raise TimeoutException(f""time limit of {time_limit}s reached during fold {i}"")
tabzilla_utils.TimeoutException: time limit of 7200s reached during fold 1
"
,TabZilla,CatBoost,random_1_s0,1,tabpfn-catboost-s100-3000-mutinf-coreset-equal__seed_0__trial_1,openml__libras__360948-CatBoost-0-19,"Traceback (most recent call last):
  File ""/scratch/bf996/tabzilla/TabZilla/tabzilla_experiment.py"", line 155, in __call__
    result = cross_validation(model, self.dataset, self.time_limit, scaler=args.scale_numerical_features, args=args)
  File ""/scratch/bf996/tabzilla/TabZilla/tabzilla_utils.py"", line 253, in cross_validation
    loss_history, val_loss_history = curr_model.fit(
  File ""/scratch/bf996/tabzilla/TabZilla/models/tree_models.py"", line 148, in fit
    X[:, self.args.cat_idx] = X[:, self.args.cat_idx].astype(""int"")
IndexError: index 100 is out of bounds for axis 1 with size 100
"
,TabZilla,CatBoost,random_1_s0,1,tabpfn-catboost-s100-3000-mutinf-coreset-equal__seed_0__trial_1,openml__airlines__189354-CatBoost-0-9,"Traceback (most recent call last):
  File ""/scratch/bf996/tabzilla/TabZilla/tabzilla_experiment.py"", line 155, in __call__
    result = cross_validation(model, self.dataset, self.time_limit, scaler=args.scale_numerical_features, args=args)
  File ""/scratch/bf996/tabzilla/TabZilla/tabzilla_utils.py"", line 216, in cross_validation
    raise TimeoutException(f""time limit of {time_limit}s reached during fold {i}"")
tabzilla_utils.TimeoutException: time limit of 7200s reached during fold 9
"
,TabZilla,CatBoost,random_10_s0,10,tabpfn-catboost-s100-3000-mutinf-coreset-equal__seed_0__trial_10,openml__libras__360948-CatBoost-0-19,"Traceback (most recent call last):
  File ""/scratch/bf996/tabzilla/TabZilla/tabzilla_experiment.py"", line 155, in __call__
    result = cross_validation(model, self.dataset, self.time_limit, scaler=args.scale_numerical_features, args=args)
  File ""/scratch/bf996/tabzilla/TabZilla/tabzilla_utils.py"", line 253, in cross_validation
    loss_history, val_loss_history = curr_model.fit(
  File ""/scratch/bf996/tabzilla/TabZilla/models/tree_models.py"", line 148, in fit
    X[:, self.args.cat_idx] = X[:, self.args.cat_idx].astype(""int"")
IndexError: index 100 is out of bounds for axis 1 with size 100
"
,TabZilla,CatBoost,random_11_s0,11,tabpfn-catboost-s100-3000-mutinf-coreset-equal__seed_0__trial_11,openml__libras__360948-CatBoost-0-19,"Traceback (most recent call last):
  File ""/scratch/bf996/tabzilla/TabZilla/tabzilla_experiment.py"", line 155, in __call__
    result = cross_validation(model, self.dataset, self.time_limit, scaler=args.scale_numerical_features, args=args)
  File ""/scratch/bf996/tabzilla/TabZilla/tabzilla_utils.py"", line 253, in cross_validation
    loss_history, val_loss_history = curr_model.fit(
  File ""/scratch/bf996/tabzilla/TabZilla/models/tree_models.py"", line 148, in fit
    X[:, self.args.cat_idx] = X[:, self.args.cat_idx].astype(""int"")
IndexError: index 100 is out of bounds for axis 1 with size 100
"
,TabZilla,CatBoost,random_12_s0,12,tabpfn-catboost-s100-3000-mutinf-coreset-equal__seed_0__trial_12,openml__libras__360948-CatBoost-0-19,"Traceback (most recent call last):
  File ""/scratch/bf996/tabzilla/TabZilla/tabzilla_experiment.py"", line 155, in __call__
    result = cross_validation(model, self.dataset, self.time_limit, scaler=args.scale_numerical_features, args=args)
  File ""/scratch/bf996/tabzilla/TabZilla/tabzilla_utils.py"", line 253, in cross_validation
    loss_history, val_loss_history = curr_model.fit(
  File ""/scratch/bf996/tabzilla/TabZilla/models/tree_models.py"", line 148, in fit
    X[:, self.args.cat_idx] = X[:, self.args.cat_idx].astype(""int"")
IndexError: index 100 is out of bounds for axis 1 with size 100
"
,TabZilla,CatBoost,random_13_s0,13,tabpfn-catboost-s100-3000-mutinf-coreset-equal__seed_0__trial_13,openml__libras__360948-CatBoost-0-19,"Traceback (most recent call last):
  File ""/scratch/bf996/tabzilla/TabZilla/tabzilla_experiment.py"", line 155, in __call__
    result = cross_validation(model, self.dataset, self.time_limit, scaler=args.scale_numerical_features, args=args)
  File ""/scratch/bf996/tabzilla/TabZilla/tabzilla_utils.py"", line 253, in cross_validation
    loss_history, val_loss_history = curr_model.fit(
  File ""/scratch/bf996/tabzilla/TabZilla/models/tree_models.py"", line 148, in fit
    X[:, self.args.cat_idx] = X[:, self.args.cat_idx].astype(""int"")
IndexError: index 100 is out of bounds for axis 1 with size 100
"
